contact|housing|poutcome|job|loan|month|marital|default|education|age|previous|balance|day_of_week|campaign|duration|y
unknown|yes|unknown|management|no|may|married|no|tertiary|58|0|2143|5|1|261|no
unknown|yes|unknown|technician|no|may|single|no|secondary|44|0|29|5|1|151|no
unknown|yes|unknown|entrepreneur|yes|may|married|no|secondary|33|0|2|5|1|76|no
unknown|yes|unknown|blue-collar|no|may|married|no|unknown|47|0|1506|5|1|92|no
unknown|no|unknown|blue-collar|no|may|single|no|unknown|33|0|1|5|1|198|no
unknown|yes|unknown|management|no|may|married|no|tertiary|35|0|231|5|1|139|no
unknown|yes|unknown|management|yes|may|single|no|tertiary|28|0|447|5|1|217|no
unknown|yes|unknown|entrepreneur|no|may|divorced|yes|tertiary|42|0|2|5|1|380|no
unknown|yes|unknown|retired|no|may|married|no|primary|58|0|121|5|1|50|no
unknown|yes|unknown|technician|no|may|single|no|secondary|43|0|593|5|1|55|no
unknown|yes|unknown|admin.|no|may|divorced|no|secondary|41|0|270|5|1|222|no
unknown|yes|unknown|admin.|no|may|single|no|secondary|29|0|390|5|1|137|no
unknown|yes|unknown|technician|no|may|married|no|secondary|53|0|6|5|1|517|no
unknown|yes|unknown|technician|no|may|married|no|unknown|58|0|71|5|1|71|no
unknown|yes|unknown|services|no|may|married|no|secondary|57|0|162|5|1|174|no
unknown|yes|unknown|retired|no|may|married|no|primary|51|0|229|5|1|353|no
unknown|yes|unknown|admin.|no|may|single|no|unknown|45|0|13|5|1|98|no
unknown|yes|unknown|blue-collar|no|may|married|no|primary|57|0|52|5|1|38|no
unknown|yes|unknown|retired|no|may|married|no|primary|59|0|60|5|1|219|no
unknown|yes|unknown|services|no|may|married|no|secondary|33|0|0|5|1|54|no
unknown|yes|unknown|blue-collar|yes|may|married|no|secondary|28|0|723|5|1|262|no
unknown|yes|unknown|management|no|may|married|no|tertiary|56|0|779|5|1|164|no
unknown|yes|unknown|blue-collar|yes|may|single|no|primary|32|0|23|5|1|160|no
